ja,ja_kana,zh,desc_ja,desc_zh,example_ja,example_zh,detail_ja,detail_zh,source,tags,type
CBAM（炭素国境調整メカニズム）,,CBAM（碳边境调节机制）,EUが2026年から本格導入する制度。輸入品に製造時のCO2排出量に応じた炭素コストを課す。,欧盟将于2026年全面实施的制度。对进口产品根据其生产过程中的CO2排放量征收碳成本。,,,EUは2005年から排出量取引制度を運用している。CBAMは無償割当の代替として導入される。,欧盟自2005年起运行碳排放交易体系。CBAM将替代免费配额。,欧州委員会,貿易|EU,term
カーボンリーケージ,,碳泄漏,排出規制の厳しい国から緩い国へ生産拠点が移転する現象。,生产活动从排放管制严格的国家向管制宽松的国家转移的现象。,,,規制の厳しい国では炭素コストがかかるため、企業は規制の緩い国へ移転する。,管制严格的国家因碳成本较高，企业会转移到管制宽松的国家。,IPCC,炭素価格,term
IRA（インフレ抑制法）,,IRA（通胀削减法）,2022年に米国が成立させた気候変動対策と医療費削減のための法律。,美国2022年通过的气候行动与医疗成本削减法案。,,,正式名称は「Inflation Reduction Act of 2022」。約3690億ドルを気候変動対策に投資。,全称为《2022年通胀削减法案》。约3690亿美元投资于气候变化。,米国議会,アメリカ,term
GX（グリーントランスフォーメーション）,,GX（绿色转型）,日本の脱炭素型経済成長戦略。,日本的脱碳型经济增长战略。,,,正式には「Green Transformation」。2023年からの10年間で20兆円の政府支援を行う。,全称为“Green Transformation”。2023年起10年内提供20兆日元政府支援。,経済産業省,日本,term
輸出還付,,出口退税,国内で課した炭素コストを輸出時に還付する制度。,将国内征收的碳成本在出口时予以退还的制度。,,,カーボン・ボーダー・アジャストメントの構成要素の一つ。,是碳边境调节制度的组成部分之一。,OECD,貿易,term
無償割当,,免费配额,排出量取引制度で政府が企業に無償で配布する排出枠。,在碳排放交易体系中政府免费分配给企业的排放配额。,,,排出量取引制度が始まった当初、多くの国で採用された。,碳排放交易体系启动之初，许多国家采用。,欧州委員会,炭素市場,term
経済安全保障,,经济安全保障,戦略的に重要な物資のサプライチェーンを確保し、他国からの圧力に耐えられる経済構造を構築する考え方。,确保战略性重要物资的供应链安全，构建能够抵御他国压力的经济结构。,,,近年、気候変動対策と経済安全保障が交差する領域が増えている。,近年来，气候变化对策与经济安全保障的交叉领域不断增加。,経済産業省,安全保障,term
パリ協定,,《巴黎协定》,2015年に国連気候変動枠組条約の下で採択された国際条約。,2015年在《联合国气候变化框架公约》下通过的国际条约。,,,2016年11月4日発効。世界の平均気温上昇を2℃より十分低く保つことを目的とする。,2016年11月4日生效。旨在将全球平均气温升幅控制在2℃以下。,UNFCCC,国際条約,term
京都議定書,,《京都议定书》,1997年に採択された、法的拘束力を持つ温室効果ガス削減議定書。,1997年通过、具有法律约束力的温室气体减排议定书。,,,2005年発効。先進国のみに排出削減義務を課した。,2005年生效。仅对发达国家规定减排义务。,UNFCCC,国際条約,term
国連気候変動枠組条約,,《联合国气候变化框架公约》,気候変動問題に対処するための国際的な枠組みを定めた条約。,为应对气候变化问题制定国际框架的条约。,,,1994年3月21日発効。現在198カ国が締約。,1994年3月21日生效。现有198个缔约国。,UNFCCC,国際条約,term
